mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,season,year,genres
32935,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,https://www.youtube-nocookie.com/embed/kJfU5boNUIE?enablejsapi=1&wmode=opaque&autoplay=1,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,TV,Manga,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",24 min per ep,PG-13 - Teens 13 or older,8.77,1297828,15894,fall,2016,"Sports, "
32995,https://myanimelist.net/anime/32995/Yuri_on_Ice,https://www.youtube-nocookie.com/embed/9-xcX0sqkkA?enablejsapi=1&wmode=opaque&autoplay=1,Yuri!!! on Ice,ユーリ!!! on ICE,TV,Original,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016",23 min per ep,PG-13 - Teens 13 or older,7.9,936213,21272,fall,2016,"Award Winning, Sports, "
32867,https://myanimelist.net/anime/32867/Bungou_Stray_Dogs_2nd_Season,https://www.youtube-nocookie.com/embed/A70E8AXQhjg?enablejsapi=1&wmode=opaque&autoplay=1,Bungou Stray Dogs 2nd Season,文豪ストレイドッグス,TV,Manga,12,Finished Airing,"Oct 6, 2016 to Dec 16, 2016",23 min per ep,R - 17+ (violence & profanity),8.17,934351,6838,fall,2016,"Action, Mystery, "
31646,https://myanimelist.net/anime/31646/3-gatsu_no_Lion,https://www.youtube-nocookie.com/embed/ZL5nnx4vd7k?enablejsapi=1&wmode=opaque&autoplay=1,3-gatsu no Lion,3月のライオン,TV,Manga,22,Finished Airing,"Oct 8, 2016 to Mar 18, 2017",25 min per ep,PG-13 - Teens 13 or older,8.37,720163,16211,fall,2016,"Drama, "
31339,https://myanimelist.net/anime/31339/Drifters,https://www.youtube-nocookie.com/embed/nw-btdhO8mg?enablejsapi=1&wmode=opaque&autoplay=1,Drifters,DRIFTERS,TV,Manga,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",24 min per ep,R - 17+ (violence & profanity),7.88,606390,4230,fall,2016,"Action, Adventure, Comedy, Fantasy, "
32899,https://myanimelist.net/anime/32899/Watashi_ga_Motete_Dousunda,https://www.youtube-nocookie.com/embed/d6Eh-y9BnUg?enablejsapi=1&wmode=opaque&autoplay=1,Watashi ga Motete Dousunda,私がモテてどうすんだ,TV,Manga,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",23 min per ep,PG-13 - Teens 13 or older,6.93,484002,1984,fall,2016,"Comedy, Romance, "
32686,https://myanimelist.net/anime/32686/Keijo,https://www.youtube-nocookie.com/embed/9dfQVsgO16Y?enablejsapi=1&wmode=opaque&autoplay=1,Keijo!!!!!!!!,競女!!!!!!!!,TV,Manga,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016",23 min per ep,PG-13 - Teens 13 or older,6.9,421122,1463,fall,2016,"Sports, Ecchi, "
30016,https://myanimelist.net/anime/30016/Nanbaka,https://www.youtube-nocookie.com/embed/NWyuTZHm1E0?enablejsapi=1&wmode=opaque&autoplay=1,Nanbaka,ナンバカ,TV,Web manga,13,Finished Airing,"Oct 5, 2016 to Dec 28, 2016",23 min per ep,PG-13 - Teens 13 or older,7.33,355642,2365,fall,2016,"Action, Comedy, Drama, "
34240,https://myanimelist.net/anime/34240/Shelter_Music,,Shelter (Music),シェルター,Music,Original,1,Finished Airing,"Oct 18, 2016",6 min,G - All Ages,8.31,327029,2422,,,"Sci-Fi, "
33253,https://myanimelist.net/anime/33253/Ajin_Part_2,https://www.youtube-nocookie.com/embed/sQAYvPNFZZI?enablejsapi=1&wmode=opaque&autoplay=1,Ajin Part 2,亜人 第2クール,TV,Manga,13,Finished Airing,"Oct 8, 2016 to Dec 24, 2016",24 min per ep,R - 17+ (violence & profanity),7.55,309545,521,fall,2016,"Action, Horror, Mystery, Supernatural, "
33161,https://myanimelist.net/anime/33161/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku_OVA,https://www.youtube-nocookie.com/embed/72URg3ayiYU?enablejsapi=1&wmode=opaque&autoplay=1,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"やはり俺の青春ラブコメはまちがっている. 続 きっと, 女の子はお砂糖とスパイスと素敵な何かでできている。",OVA,Light novel,1,Finished Airing,"Oct 27, 2016",23 min,PG-13 - Teens 13 or older,8.02,268368,493,,,"Comedy, Romance, "
31988,https://myanimelist.net/anime/31988/Hibike_Euphonium_2,https://www.youtube-nocookie.com/embed/d2Di5swwzxg?enablejsapi=1&wmode=opaque&autoplay=1,Hibike! Euphonium 2,響け！ユーフォニアム2,TV,Novel,13,Finished Airing,"Oct 6, 2016 to Dec 29, 2016",23 min per ep,PG-13 - Teens 13 or older,8.34,251780,3800,fall,2016,"Drama, "
34321,https://myanimelist.net/anime/34321/Fate_Grand_Order__First_Order,https://www.youtube-nocookie.com/embed/OUx-VN-DDmk?enablejsapi=1&wmode=opaque&autoplay=1,Fate/Grand Order: First Order,Fate/Grand Order -First Order-,TV Special,Game,1,Finished Airing,"Dec 31, 2016",1 hr 12 min,PG-13 - Teens 13 or older,6.73,236919,357,,,"Action, Fantasy, "
33286,https://myanimelist.net/anime/33286/Strike_the_Blood_II,https://www.youtube-nocookie.com/embed/nkgKoBuUdW0?enablejsapi=1&wmode=opaque&autoplay=1,Strike the Blood II,ストライク・ザ・ブラッドⅡ,OVA,Light novel,8,Finished Airing,"Nov 23, 2016 to May 24, 2017",25 min per ep,R+ - Mild Nudity,6.95,206053,232,,,"Action, Fantasy, Ecchi, "
15227,https://myanimelist.net/anime/15227/Kono_Sekai_no_Katasumi_ni,https://www.youtube-nocookie.com/embed/gaRqwKfMlKU?enablejsapi=1&wmode=opaque&autoplay=1,Kono Sekai no Katasumi ni,この世界の片隅に,Movie,Manga,1,Finished Airing,"Nov 12, 2016",2 hr 48 min,PG-13 - Teens 13 or older,8.23,204318,1677,,,"Award Winning, Drama, "
32983,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,,Natsume Yuujinchou Go,夏目友人帳 伍,TV,Manga,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",23 min per ep,PG-13 - Teens 13 or older,8.56,202130,899,fall,2016,"Slice of Life, Supernatural, "
32962,https://myanimelist.net/anime/32962/Occultic_Nine,https://www.youtube-nocookie.com/embed/e9Ie5wXlELo?enablejsapi=1&wmode=opaque&autoplay=1,Occultic;Nine,Occultic;Nine －オカルティック・ナイン－,TV,Light novel,12,Finished Airing,"Oct 9, 2016 to Dec 25, 2016",24 min per ep,PG-13 - Teens 13 or older,6.89,202050,470,fall,2016,"Mystery, "
32979,https://myanimelist.net/anime/32979/Flip_Flappers,https://www.youtube-nocookie.com/embed/Cz65Vy7Wp18?enablejsapi=1&wmode=opaque&autoplay=1,Flip Flappers,フリップフラッパーズ,TV,Original,13,Finished Airing,"Oct 6, 2016 to Dec 29, 2016",23 min per ep,PG-13 - Teens 13 or older,7.62,200985,2200,fall,2016,"Adventure, Comedy, Sci-Fi, "
32801,https://myanimelist.net/anime/32801/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_OVA,https://www.youtube-nocookie.com/embed/izN3zA1NjbQ?enablejsapi=1&wmode=opaque&autoplay=1,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,ダンジョンに出会いを求めるのは間違っているだろうか OVA「ダンジョンに温泉を求めるのは 間違っているだろうか」,OVA,Light novel,1,Finished Airing,"Dec 7, 2016",24 min,PG-13 - Teens 13 or older,7.04,187330,148,,,"Adventure, Comedy, Fantasy, Ecchi, "
33433,https://myanimelist.net/anime/33433/Shuumatsu_no_Izetta,https://www.youtube-nocookie.com/embed/piEEGQdBho8?enablejsapi=1&wmode=opaque&autoplay=1,Shuumatsu no Izetta,終末のイゼッタ,TV,Original,12,Finished Airing,"Oct 1, 2016 to Dec 17, 2016",25 min per ep,R - 17+ (violence & profanity),6.76,186978,372,fall,2016,"Action, Fantasy, "
32603,https://myanimelist.net/anime/32603/Okusama_ga_Seitokaichou_,https://www.youtube-nocookie.com/embed/slxnDYn0dPY?enablejsapi=1&wmode=opaque&autoplay=1,Okusama ga Seitokaichou!+!,おくさまが生徒会長!＋!,TV,Manga,12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016",8 min per ep,R+ - Mild Nudity,6.56,180477,139,fall,2016,"Comedy, Romance, Ecchi, "
33003,https://myanimelist.net/anime/33003/Mahou_Shoujo_Ikusei_Keikaku,https://www.youtube-nocookie.com/embed/YRC9_qbrqAk?enablejsapi=1&wmode=opaque&autoplay=1,Mahou Shoujo Ikusei Keikaku,魔法少女育成計画,TV,Light novel,12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016",24 min per ep,R - 17+ (violence & profanity),6.94,171768,779,fall,2016,"Action, Suspense, "
34213,https://myanimelist.net/anime/34213/Getsuyoubi_no_Tawawa,,Getsuyoubi no Tawawa,月曜日のたわわ,ONA,Web manga,12,Finished Airing,"Oct 10, 2016 to Dec 26, 2016",4 min per ep,PG-13 - Teens 13 or older,6.4,167443,352,,,"Slice of Life, Ecchi, "
33094,https://myanimelist.net/anime/33094/WWWWorking,https://www.youtube-nocookie.com/embed/bYp1SFD6SsQ?enablejsapi=1&wmode=opaque&autoplay=1,WWW.Working!!,WWW.WORKING!!,TV,Web manga,13,Finished Airing,"Oct 1, 2016 to Dec 24, 2016",23 min per ep,PG-13 - Teens 13 or older,7.41,164623,294,fall,2016,"Comedy, "
33051,https://myanimelist.net/anime/33051/Kidou_Senshi_Gundam__Tekketsu_no_Orphans_2nd_Season,,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,機動戦士ガンダム 鉄血のオルフェンズ 第2期,TV,Original,25,Finished Airing,"Oct 2, 2016 to Apr 2, 2017",24 min per ep,R - 17+ (violence & profanity),8.23,157022,1719,fall,2016,"Drama, Sci-Fi, "
